episode,reward
1,0.026
133,-0.00455
270,0.01575
381,-0.00785
523,0.02635
650,0.04585
786,0.0134
941,0.03675
1059,0.0206
1189,0.0293
1322,0.03365
1442,0.0227
1563,0.06305
1690,0.02805
1826,0.02365
1956,0.0242
2068,0.0206
2210,0.0025
2337,0.02015
2460,-0.0023
2601,0.04745
2729,0.03845
2864,0.0101
2976,0.04305
3104,0.03955
3248,0.0113
3388,0.03945
3519,0.0177
3676,0.03785
3794,0.0237
3928,0.0513
4040,0.0365
4188,0.04395
4319,0.06345
4449,0.0618
4570,0.04125
4689,0.0263
4793,0.061
4909,0.04565
5044,0.02395
5174,0.02445
5298,0.02205
5430,0.052
5542,0.045
5675,0.02735
5786,0.0106
5914,0.02145
6019,0.0199
6149,0.011
6259,0.0186
6396,0.04285
6533,0.017
6647,0.0293
6781,0.02945
6901,0.0009
7043,0.02665
7169,0.03265
7295,0.0128
7422,0.0548
7548,0.032
7674,0.02525
7802,-0.0007
7936,0.0444
8067,0.04995
8193,0.0293
8334,0.0443
8458,0.02375
8577,0.03185
8701,0.06275
8812,0.01245
8910,0.0489
9032,0.0197
9169,0.0355
9324,0.0222
9460,0.0177
9603,0.01815
9733,0.05275
9873,0.0197
9987,0.0324
10127,0.0143
10266,0.0553
10390,-0.00325
10511,0.0312
10643,0.02085
10786,0.0411
10913,0.0293
11052,0.04575
11189,0.00065
11322,0.0007
11465,0.01055
11585,0.03745
11715,0.0037
11834,0.03545
11953,-0.00045
12092,0.05535
12211,0.0368
12346,0.02125
12474,0.04615
12623,0.02555
12761,0.0467
12897,0.03815
13038,0.0206
13170,0.0371
13294,0.05605
13433,0.0294
13571,0.01505
13698,0.04685
13833,0.01985
13955,-0.00885
14082,0.02205
14223,0.0291
14342,-0.02475
14482,-0.0025
14631,0.00685
14754,0.0186
14884,0.01655
15006,0.0236
15146,0.01615
15264,0.03025
15410,-0.00755
15544,0.0378
15670,0.0531
15800,0.03365
15928,0.0236
16077,-0.0179
16209,0.0196
16335,0.0498
16465,0.0223
16583,0.0263
16720,0.02425
16838,0.03975
16985,0.0229
17119,0.0352
17243,0.017
17361,0.03895
17493,0.021
17633,0.04095
17768,0.01775
17897,0.0492
18026,0.0527
18151,0.02335
18277,0.0294
18412,0.04035
18553,0.0373
18692,0.0328
18823,0.06355
18945,0.01965
19076,0.0522
19218,0.0476
19348,0.0556
19466,0.04445
19589,0.01825
19753,0.05835
19886,0.0245
20005,0.0335
20159,0.0588
20282,0.0544
20415,0.0153
20555,0.0342
20688,0.0219
20826,0.0272
20948,0.0193
21069,0.0293
21201,0.01885
21318,0.02695
21453,-0.0123
21603,0.01505
21728,0.03215
21864,0.04975
21987,0.03565
22094,0.0054
22220,0.00795
22353,-0.0149
22477,0.0202
22600,0.0237
22745,0.03745
22883,0.0036
22995,0.0318
23117,0.04475
23236,0.0028
23361,0.06725
23494,0.02955
23657,0.04235
23778,-0.01205
23914,0.05785
24035,0.0424
24167,0.02025
24301,-0.00415
24432,0.02085
24557,0.01225
24691,0.03005
24824,0.02915
24971,0.0437
25106,0.0321
25213,0.0453
25334,0.01755
25444,0.00215
25574,0.0079
25693,0.0388
25810,0.03555
